日期,幣別,即期買入匯率,即期賣出匯率
20211111,CNY,4.32,4.37
20211110,USD,27.725,27.825
20211110,HKD,3.535,3.595
20211110,GBP,37.47,37.87
20211110,AUD,20.34,20.54
20211110,CAD,22.28,22.48
20211110,SGD,20.53,20.71
20211110,CHF,30.29,30.54
20211110,JPY,0.2436,0.2476
20211110,ZAR,1.798,1.878
20211110,SEK,3.19,3.29
20211110,NZD,19.65,19.85
20211110,THB,0.8332,0.8732
20211110,EUR,31.94,32.34
20211110,CNY,4.319,4.369
20211109,USD,27.705,27.805
20211109,HKD,3.533,3.593
20211109,GBP,37.46,37.86
20211109,AUD,20.48,20.68
20211109,CAD,22.22,22.42
20211109,SGD,20.53,20.71
20211109,CHF,30.27,30.52
20211109,JPY,0.244,0.248
20211109,ZAR,1.818,1.898
20211109,SEK,3.19,3.29
20211109,NZD,19.76,19.96
20211109,THB,0.8309,0.8709
20211109,EUR,31.98,32.38
20211109,CNY,4.315,4.365
20211108,USD,27.785,27.885
20211108,HKD,3.544,3.604
20211108,GBP,37.34,37.74
20211108,AUD,20.5,20.7
20211108,CAD,22.27,22.47
20211108,SGD,20.54,20.72
20211108,CHF,30.31,30.56
20211108,JPY,0.2431,0.2471
20211108,ZAR,1.812,1.892
20211108,SEK,3.2,3.3
20211108,NZD,19.79,19.99
20211108,THB,0.8266,0.8666
20211108,EUR,31.99,32.39
20211108,CNY,4.326,4.376
20211105,USD,27.82,27.92
20211105,HKD,3.55,3.61
20211105,GBP,37.44,37.84
20211105,AUD,20.49,20.69
20211105,CAD,22.27,22.47
20211105,SGD,20.52,20.7
20211105,CHF,30.36,30.61
20211105,JPY,0.243,0.247
20211105,ZAR,1.784,1.864
20211105,SEK,3.2,3.3
20211105,NZD,19.65,19.85
20211105,THB,0.8218,0.8618
20211105,EUR,32.02,32.42
20211105,CNY,4.33,4.38
20211104,USD,27.81,27.91
20211104,HKD,3.549,3.609
20211104,GBP,37.86,38.26
20211104,AUD,20.62,20.82
20211104,CAD,22.39,22.59
20211104,SGD,20.55,20.73
20211104,CHF,30.35,30.6
20211104,JPY,0.242,0.246
